State,Number BAC=0,Percent BAC=0,Number BAC=0.01-0.09,Percent BAC = 0.01-0.09,Number BAC = 0.10+,Percent BAC = 0.10+,Number Killed in Alcohol Related Crashes,Percent Killed Alcohol Related Crashes,Total Killed in All Accidents,Percent,Year,"Population, US Census",Direct Ship,Beer Per Capita,Wine Per Capita,Spirits Per Capita
AK,37,52,4,6,31,43,35,48,72,100,2005,"666,946",0,1.18,0.20,0.53
AK,70,69,1,1,30,30,31,31,101,100,2004,"659,286",0,1.18,0.20,0.53
AK,60,63,3,4,31,33,35,37,95,100,2003,"648,414",0,1.18,0.20,0.53
AK,52,59,2,2,34,39,35,41,87,100,2002,"642,337",0,1.18,0.20,0.53
AK,80,64,8,6,37,30,44,36,124,100,2001,"633,714",0,1.18,0.20,0.53
AK,50,48,9,9,44,43,53,52,103,100,2000,"627,963",0,1.18,0.20,0.53
AL,708,63,42,4,382,34,423,37,"1,131",100,2005,"4,569,805",0,1.24,0.43,0.99
AL,713,62,48,4,394,34,442,38,"1,154",100,2004,"4,530,729",0,1.32,0.45,0.96
AL,586,59,40,4,376,38,415,41,"1,001",100,2003,"4,503,491",0,1.27,0.37,0.79
AL,620,60,43,4,370,36,413,40,"1,033",100,2002,"4,480,089",0,1.36,0.43,1.08
AL,"1,025",75,39,3,298,22,337,25,"1,362",100,2001,"4,467,634",0,1.34,0.4,0.97
AL,596,60,74,7,326,33,399,40,995,100,2000,"4,452,173",0,1.35,0.37,0.92
AR,415,64,25,4,208,32,233,36,648,100,2005,"2,781,097",0,1.05,0.16,0.58
AR,428,61,40,6,236,33,276,39,704,100,2004,"2,749,686",0,1.07,0.15,0.58
AR,373,59,51,8,203,32,254,41,627,100,2003,"2,724,816",0,1.06,0.14,0.56
AR,398,62,35,5,207,32,242,38,640,100,2002,"2,705,927",0,1.07,0.14,0.53
AR,639,80,35,4,127,16,162,20,801,100,2001,"2,691,571",0,1.06,0.13,0.53
AR,452,69,61,9,139,21,200,31,652,100,2000,"2,678,588",0,1.09,0.12,0.53
AZ,685,58,58,5,434,37,492,42,"1,177",100,2005,"5,839,077",0,1.33,0.39,0.74
AZ,715,62,60,5,376,33,435,38,"1,150",100,2004,"5,652,404",0,1.39,0.33,0.7
AZ,650,58,63,6,408,36,470,42,"1,120",100,2003,"5,510,364",0,1.41,0.37,0.71
AZ,640,57,58,5,420,38,477,43,"1,117",100,2002,"5,396,255",0,1.46,0.33,0.69
AZ,"1,030",73,59,4,316,22,375,27,"1,405",100,2001,"5,273,477",0,1.47,0.33,0.7
AZ,580,56,102,10,354,34,456,44,"1,036",100,2000,"5,160,586",0,1.48,0.31,0.71
